model,accuracy,precision,recall,f1,FPR,Detection Rate,total_wrong,num_causal,num_regression,num_plausible,causal_rate,regression_rate,plausible_rate,temp_score
ait_logic_pretrained_reduced_w10_10b10a_20260505_075449,0.9878805919374043,0.7533221104932186,0.8036957129706763,0.7696120702268323,0.010353191298228804,0.9564812350279478,1710,0,141,1569,0.0,0.0824561403508772,0.9175438596491228,0.7531208421566569
ait_logic_pretrained_reduced_w10_20b20a_20260505_080139,0.9879727277881726,0.75356411138747,0.8031202933057688,0.7693528166267487,0.01019598448892815,0.9554165557625766,1697,0,139,1558,0.0,0.08190925162050677,0.9180907483794932,0.7529709663026474
ait_logic_pretrained_reduced_w10_10000b10000a_20260505_092114,0.9777243862334865,0.7280918802831746,0.8362908082166504,0.7656527286704518,0.02217364614993038,0.9759116316209742,3143,0,406,2737,0.0,0.1291759465478842,0.8708240534521158,0.7398175393608749
ait_logic_pretrained_reduced_w10_balanced_20260505_072355,0.9761580767704258,0.7252169245366458,0.8429226706948085,0.7647638751245964,0.023925379167851955,0.9776417354272026,3364,0,449,2915,0.0,0.13347205707491083,0.8665279429250892,0.7380694637096142
ait_logic_pretrained_reduced_w10_30b30a_20260505_080809,0.9851023416680842,0.757148127956347,0.7926267640438968,0.7647049249112147,0.010667604916830112,0.9099015171679532,2102,0,142,1960,0.0,0.0675547098001903,0.9324452901998097,0.7511939829511766
ait_logic_pretrained_reduced_w10_500b500a_20260505_083115,0.9839400124737767,0.7388163201289134,0.8102313533310375,0.7620594471009158,0.015076881615786557,0.9664626031408038,2266,0,223,2043,0.0,0.09841129744042365,0.9015887025595763,0.742377187612831
ait_logic_pretrained_reduced_w10_1000b1000a_20260505_084316,0.9792269093383228,0.7252758419227175,0.8153105570363243,0.7535475290771478,0.02040694105493255,0.9727175938248602,2931,0,397,2534,0.0,0.1354486523370863,0.8645513476629136,0.7264577986097306
ait_logic_scratch_aug_w100_20b20a_20260505_140323,0.8954487452148022,0.6551154772810373,0.9757175852975178,0.6995287955423592,0.11042306252339948,0.999866844207723,14748,0,1118,13630,0.0,0.07580688906970437,0.9241931109302957,0.6843674177284184
ait_logic_scratch_aug_w100_balanced_20260505_184531,0.8954487452148022,0.6551154772810373,0.9757175852975178,0.6995287955423592,0.11042306252339948,0.999866844207723,14748,0,1118,13630,0.0,0.07580688906970437,0.9241931109302957,0.6843674177284184
ait_logic_scratch_full_w100_20b20a_20260505_043934,0.8954487452148022,0.6551154772810373,0.9757175852975178,0.6995287955423592,0.11042306252339948,0.999866844207723,14748,0,1118,13630,0.0,0.07580688906970437,0.9241931109302957,0.6843674177284184
ait_logic_scratch_full_w100_100b100a_20260505_050247,0.8954487452148022,0.6551154772810373,0.9757175852975178,0.6995287955423592,0.11042306252339948,0.999866844207723,14748,0,1118,13630,0.0,0.07580688906970437,0.9241931109302957,0.6843674177284184
ait_logic_scratch_aug_w100_30b30a_20260505_141013,0.8954487452148022,0.6551154772810373,0.9757175852975178,0.6995287955423592,0.11042306252339948,0.999866844207723,14748,0,1118,13630,0.0,0.07580688906970437,0.9241931109302957,0.6843674177284184
ait_logic_scratch_aug_w100_balanced_20260505_130752,0.8954487452148022,0.6551154772810373,0.9757175852975178,0.6995287955423592,0.11042306252339948,0.999866844207723,14748,0,1118,13630,0.0,0.07580688906970437,0.9241931109302957,0.6843674177284184
ait_logic_scratch_aug_w100_50b50a_20260505_141626,0.8954487452148022,0.6551154772810373,0.9757175852975178,0.6995287955423592,0.11042306252339948,0.999866844207723,14748,0,1118,13630,0.0,0.07580688906970437,0.9241931109302957,0.6843674177284184
ait_logic_scratch_full_w100_30b30a_20260505_044615,0.8954487452148022,0.6551154772810373,0.9757175852975178,0.6995287955423592,0.11042306252339948,0.999866844207723,14748,0,1118,13630,0.0,0.07580688906970437,0.9241931109302957,0.6843674177284184
ait_logic_scratch_full_w100_10000b10000a_20260505_054726,0.8954487452148022,0.6551154772810373,0.9757175852975178,0.6995287955423592,0.11042306252339948,0.999866844207723,14748,0,1118,13630,0.0,0.07580688906970437,0.9241931109302957,0.6843674177284184
ait_logic_scratch_full_w100_balanced_20260505_034445,0.8954487452148022,0.6551154772810373,0.9757175852975178,0.6995287955423592,0.11042306252339948,0.999866844207723,14748,0,1118,13630,0.0,0.07580688906970437,0.9241931109302957,0.6843674177284184
ait_logic_scratch_full_w100_500b500a_20260505_051253,0.8954487452148022,0.6551154772810373,0.9757175852975178,0.6995287955423592,0.11042306252339948,0.999866844207723,14748,0,1118,13630,0.0,0.07580688906970437,0.9241931109302957,0.6843674177284184
ait_logic_scratch_aug_w100_100b100a_20260505_142312,0.8954487452148022,0.6551154772810373,0.9757175852975178,0.6995287955423592,0.11042306252339948,0.999866844207723,14748,0,1118,13630,0.0,0.07580688906970437,0.9241931109302957,0.6843674177284184
ait_logic_scratch_aug_w100_10b10a_20260505_135451,0.8954487452148022,0.6551154772810373,0.9757175852975178,0.6995287955423592,0.11042306252339948,0.999866844207723,14748,0,1118,13630,0.0,0.07580688906970437,0.9241931109302957,0.6843674177284184
ait_logic_scratch_reduced_w100_balanced_20260505_102628,0.8954487452148022,0.6551154772810373,0.9757175852975178,0.6995287955423592,0.11042306252339948,0.999866844207723,14748,0,1118,13630,0.0,0.07580688906970437,0.9241931109302957,0.6843674177284184
ait_logic_scratch_full_w100_1000b1000a_20260505_052652,0.8954487452148022,0.6551154772810373,0.9757175852975178,0.6995287955423592,0.11042306252339948,0.999866844207723,14748,0,1118,13630,0.0,0.07580688906970437,0.9241931109302957,0.6843674177284184
ait_logic_scratch_full_w100_50b50a_20260505_045520,0.8954487452148022,0.6551154772810373,0.9757175852975178,0.6995287955423592,0.11042306252339948,0.999866844207723,14748,0,1118,13630,0.0,0.07580688906970437,0.9241931109302957,0.6843674177284184
ait_logic_scratch_aug_w10_100b100a_20260505_130202,0.8956596926915008,0.6431373013372396,0.9779581081283407,0.6931144075144006,0.11020945935829678,1.0,14722,0,1062,13660,0.0,0.07213693791604402,0.927863062083956,0.6786870199311917
ait_logic_scratch_reduced_w10_50b50a_20260505_081108,0.8956596926915008,0.6431373013372396,0.9779581081283407,0.6931144075144006,0.11020945935829678,1.0,14722,0,1062,13660,0.0,0.07213693791604402,0.927863062083956,0.6786870199311917
ait_logic_scratch_reduced_w10_1000b1000a_20260505_083503,0.8956596926915008,0.6431373013372396,0.9779581081283407,0.6931144075144006,0.11020945935829678,1.0,14722,0,1062,13660,0.0,0.07213693791604402,0.927863062083956,0.6786870199311917
ait_logic_scratch_reduced_w10_10000b10000a_20260505_084956,0.8956596926915008,0.6431373013372396,0.9779581081283407,0.6931144075144006,0.11020945935829678,1.0,14722,0,1062,13660,0.0,0.07213693791604402,0.927863062083956,0.6786870199311917
ait_logic_scratch_aug_w10_50b50a_20260505_125620,0.8956596926915008,0.6431373013372396,0.9779581081283407,0.6931144075144006,0.11020945935829678,1.0,14722,0,1062,13660,0.0,0.07213693791604402,0.927863062083956,0.6786870199311917
ait_logic_scratch_aug_w10_10b10a_20260505_123537,0.8956596926915008,0.6431373013372396,0.9779581081283407,0.6931144075144006,0.11020945935829678,1.0,14722,0,1062,13660,0.0,0.07213693791604402,0.927863062083956,0.6786870199311917
ait_logic_scratch_full_w10_1000b1000a_20260505_022239,0.8956596926915008,0.6431373013372396,0.9779581081283407,0.6931144075144006,0.11020945935829678,1.0,14722,0,1062,13660,0.0,0.07213693791604402,0.927863062083956,0.6786870199311917
ait_logic_scratch_full_w10_50b50a_20260505_015810,0.8956596926915008,0.6431373013372396,0.9779581081283407,0.6931144075144006,0.11020945935829678,1.0,14722,0,1062,13660,0.0,0.07213693791604402,0.927863062083956,0.6786870199311917
