model,accuracy,precision,recall,f1,FPR,Detection Rate,total_wrong,hard_violations,soft_violations,hard_rate,soft_rate,temporal_score
darpa_neg_scratch_down_w100,0.9991449762382931,0.978831818544208,0.938929950781696,0.9574883240999127,4.792944785276074e-05,0.9985727393210317,43,0,0,0.0,0.0,0.9574883240999127
darpa_one_net_scratch_50data_w10,0.9991058477556779,0.9788165098919288,0.9432175642281598,0.9574850379676462,4.784688995215311e-05,0.9985047745267951,45,0,0,0.0,0.0,0.9574850379676462
darpa_one_net_scratch_down_w50,0.999065810657709,0.9626045742784884,0.9432039064713501,0.9477518667399054,9.57670944263551e-05,0.9984707921296768,47,0,0,0.0,0.0,0.9477518667399054
darpa_one_net_scratch_up_w50,0.999065810657709,0.9626045742784884,0.9432039064713501,0.9477518667399054,9.57670944263551e-05,0.9984707921296768,47,0,0,0.0,0.0,0.9477518667399054
darpa_one_net_scratch_original_w50,0.999065810657709,0.9626045742784884,0.9432039064713501,0.9477518667399054,9.57670944263551e-05,0.9984707921296768,47,0,0,0.0,0.0,0.9477518667399054
darpa_neg_scratch_up_w50,0.999065810657709,0.9626045742784884,0.9432039064713501,0.9477518667399054,9.57670944263551e-05,0.9984707921296768,47,0,0,0.0,0.0,0.9477518667399054
darpa_one_net_pretrained_down_w10,0.9991058477556779,0.9996419193124851,0.8979326480177138,0.9408566288988881,0.0,0.9984707921296768,45,0,0,0.0,0.0,0.9408566288988881
darpa_neg_scratch_original_w50,0.9990459342887241,0.9625966275908936,0.9246853879528315,0.9379439635555779,9.57670944263551e-05,0.9984368097325586,48,0,0,0.0,0.0,0.9379439635555779
darpa_neg_scratch_down_w50,0.9990459342887241,0.9625966275908936,0.9246853879528315,0.9379439635555779,9.57670944263551e-05,0.9984368097325586,48,0,0,0.0,0.0,0.9379439635555779
darpa_neg_scratch_50data_w10,0.9990661076559302,0.9996260403239923,0.887669983154263,0.9352548673532447,0.0,0.9984028273354403,47,0,0,0.0,0.0,0.9352548673532447
darpa_neg_scratch_original_w10,0.9991257178055517,0.9788244516601408,0.913797689409071,0.9348139194975081,4.784688995215311e-05,0.9985387569239134,44,0,0,0.0,0.0,0.9348139194975081
darpa_pretrained_up_w10,0.9991058477556779,0.9996419193124851,0.8837130712981373,0.9330462806793326,0.0,0.9984707921296768,45,0,0,0.0,0.0,0.9330462806793326
darpa_neg_pretrained_original_w50,0.9990260579197392,0.9996098663991465,0.8770823015161883,0.9297209372679182,0.0,0.9983348625412036,49,0,0,0.0,0.0,0.9297209372679182
darpa_scratch_up_w50,0.9990260579197392,0.9996098663991465,0.8628627247966117,0.9203232874610611,0.0,0.9983348625412036,49,0,0,0.0,0.0,0.9203232874610611
darpa_neg_pretrained_up_w50,0.9990061815507543,0.9996019235056209,0.8539341533680402,0.9121704506316707,0.0,0.9983008801440854,50,0,0,0.0,0.0,0.9121704506316707
darpa_scratch_up_w100,0.9990455548706528,0.9480460126145988,0.8519510630694879,0.8956408353214935,9.585889570552147e-05,0.9984368097325586,48,0,0,0.0,0.0,0.8956408353214935
darpa_one_net_pretrained_up_w10,0.9990263675561826,0.9996101643674319,0.8384088384939044,0.8954486681752621,0.0,0.9983348625412036,49,0,0,0.0,0.0,0.8954486681752621
darpa_neg_pretrained_down_w50,0.9989664288127845,0.999586039994905,0.8215267459606328,0.8918938692252962,0.0,0.9982329153498488,52,0,0,0.0,0.0,0.8918938692252962
darpa_pretrained_original_w50,0.9989266760748147,0.9995701595185786,0.7858124602463471,0.8677059824951333,0.0,0.9981649505556122,54,0,0,0.0,0.0,0.8677059824951333
darpa_pretrained_down_w50,0.9989266760748147,0.9995701595185786,0.7798600792939662,0.8645354814985454,0.0,0.9981649505556122,54,0,0,0.0,0.0,0.8645354814985454
